text,sentiment
"I bought the [[ASIN:B00JBGOIW0 Acuvar High Capacity AA Rechargeable Batteries]] just to check out the unbelievable capacity claim of '3100mAh'. Actually, I already knew from experience that any AA NiMH cell advertising 3000mAh or over is too good to be true. Yet people kept bugging me to test this product. So this exercise is just to remove all doubts.<br /><br />I tested a set of 4 Acuvar AA cells using my [[ASIN:B004J6DLD4 La Crosse BC1000 Battery Charger]]. Here are my observations:<br />- Right out of the package, the average remaining capacity was 1111mAH, or just 35% of the rated capacity.<br />- After one Recharge/Discharge cycle, the average capacity improved to 1514mAh.<br />- After another two more recharge/discharge cycles, the average capacity settled at 1552mAh, or 50% of the advertised '3100mAh'.<br /><br />Just to make sure that the low capacity reading is not due to my charger, I re-tested those Acuvar cells using my [[ASIN:B003DIGKOG PowerEx MH-C9000 Charger-Analyzer]]. I put all 4 cells though another three Discharge/Recharge cycles on this charger, and monitored the progress of capacity numbers reported. In the end, the average capacity remains virtually unchanged at 1470mAh. (Note that my MH-C9000 always report about 5% lower capacity reading compared to my BC1000).<br /><br />Another tell-tale sign of low capacity battery is the weight. Those Acuvar AA cells are only 22g each according to my electronic kitchen scale. The [[ASIN:B00HZV9WTM AmazonBasics AA High-Capacity Rechargeable Batteries]], for example, are 30g each.<br /><br />Bottom Line:<br />Those Acuvar AA batteries are advertised as '3100mAh', but the actual measured capacity is just 50% of that. This is simply false advertisement. The product should be removed from Amazon product page if the company still has any integrity left.<br /><br />Finally, If you need some inexpensive NiMH cells with honest capacity ratings, try:<br />- [[ASIN:B00410B734 Tenergy Centura AA LSD NiMH Rechargeable Batteries]]: rated 2000mAh and measured around 2100mAh according to my BC1000.<br />- [[ASIN:B00BU9YHIQ GP Recyko AA Ni-MH Pre-Charged Rechargeable Batteries]]: rated 2100mAh and tested over 2200mAh.<br />- [[ASIN:B00CWNMR5Y AmazonBasics AA Rechargeable Batteries]]: rated 2000mAh and measured close to 2100mAh. They are most likely rebranded [[ASIN:B003VLAEPQ Sanyo Eneloop]].e Batteries]]: rated 2000mAh and measured around 2100mAh according to my BC1000.<br />- [[ASIN:B00BU9YHIQ GP Recyko AA Ni-MH Pre-Charged Rechargeable Batteries]]: rated 2100mAh and tested over 2200mAh.<br />- [[ASIN:B00CWNMR5Y AmazonBasics AA Rechargeable Batteries]]: rated 2000mAh and measured close to 2100mAh. They are most likely rebranded [[ASIN:B003VLAEPQ Sanyo Eneloop]].",positive
Not super. Don't stay in ears well. Sound quality isn't great,positive
This has nowhere near the capacity of the original...pretty disapponting.,positive
Been using these for several months. No complaints.,positive
"Good sound quality but if your ears are small, they will constantly fall off.",positive
"It works with a ps4, cable box and PS3. I'm able to switch between devices by pressing the button. Unfortunately, it only switches automatically sometimes, when you shut one device off to the device that's on. Furthermore, a warning to those that are sensitive to light, this product always has a light on that is very bright, so I had to put mine behind the tv, but I ended up using a new one with a remote because I wanted one to automatically switch and I wanted to have the option to switch between different ports through a remote so if I wanted to play multiple games systems, I can easily switch to them.",negative
Sounded alright. But my Sony earphones for my ears better,negative
the sound is muffled. I couldn't stand it after one use so I bought something else.,positive
Badly made... plays my cassettes as if on fast... i.e. 33.3 on 78 speed. The singers sound like the chipmunks !! Not funny..have  no way of returning this item..what a waste of money... terribly disappointed..Would never recommend..,negative
"It worked out great for a 32&#34; tv we hung, but I bought this for a 47&#34; tv, and it didn't work at all for it.  I may have misread the advertisement, I thought I saw that it was compatible for an LG tv, when it just said, LCD, LED, plasma tv..which should have included the LG, but it worked perfectly for a smaller tv.",positive
"Works great for my standing desk. Holds a MacBook power cable, two hard drive power cords, a lamp power cord, and an iPad power cord. Snug fit but could definitely hold a few more.",positive
"I want to like anything which bears the Carl Zeiss name. But getting this attractively designed package to open, work right, and close properly was a struggle, involving a borrowed pocket knife. The wipes themselves, described as alcohol-free, were ever-so-slighy greasy. The touchscreen seemed less responsive. Nice-looking pocket pack, though!",positive
The right earphone stopped working after a month of use.,negative
LOVE IT !!!!<br />WILL PURCHASE MORE IN THE FUTURE  ; ),positive
"A bit difficult to put on the first few times wearing them but I am getting use to them now. I like the three sizes of ear buds that they come with so that the headphones can fit a variety of ears. Edit: These stopped working after only a few months of use. Now, the head phone jack doesn't completely connect to the port on my phone, ipod, and computer making audio cut in and out if I so much as move the device. Completely useless now that I have to keep my device still if I want the headphones to work. And their return policy (limited life-time warranty) makes it so you have to pay for shipping and handling ($9+) so it is not worth mailing it in to get it fixed or replaced.",negative
It fit perfectly  no problems the fios alarm for the battery went off so far so good. to early to rate reliability,negative
It's really only for 2 outlets. The prongs are so close together,negative
"Works very well, up converts my Laserdisc player to HDMI.",positive
"These speakers are fairly unique in that they take a Bluetooth signal and convert it into another format. In terms of connectivity these work as long as the transmitter unit is close by.<br /><br />These speakers use 6 AA batteries, i.e. they work off 9 Volts. An easy calculation shows that the peak wattage of these is around 10 Watts. More than that and the signal clips. Since music signals are not uniform, effective RMS wattage is around 2.5 Watts. Any more and the peaks in the music will start clipping. Also, you would not be able to drain 1 amp of current from batteries for a long period of time which is another limiting factor.<br /><br />In practice I found the 2.5 Watts to be fairly accurate. If the speakers are less than 5 feet away then they are useful. Any farther and the music gets drowned out in the wind. I am not an audiophile but I would hope that the manufacturer would improve the sound quality. For $200 I would expect more in terms of acoustics than what these speakers deliver.<br /><br />I do like that these come with a remote control and are portable. However the low wattage and mediocre sound result in 2 stars.",positive
This is a good universal remote and it has replaced two other older Logitech universal remotes that I have previously owned.,positive
Mediocre product. Should have spent more to get a bettrr one,negative
"Pretty much fell apart.  Looks good, worked for a little while, but poorly made.",positive
"just got it a few days ago, working so far and the sound quality is better then others i've had before.",positive
"If you expect to change them up for some future need you'll be disappointed.  The batteries have not held a charge... no where near the &#34;75% of capacity after 3 year of non-use&#34; claim in the description.  The battery is 20% in less than a week.  So far I've had duplicate results for all types I purchased (AAA, AA, D).  I feel as if I wasted my money and was deceived.<br />They also take hours charging until full (green).",negative
"Battery lasts a long time. The sound is really good for such a small speaker. Got this from a friend. Love the volume buttons and solid on/off switch on the side. Pretty compact to take anywhere. Can use and charge at the same time. Easy to pair, walk away and repair at the press of a button on the unit itself instead of having to use the pone to reconnect.",positive
They don't provide a mind-blowing sound but as someone who uses headphones for intense weight training I've found this product to be extremely durable in comparison to other headphones.  I've sweat on them quite a bit and even stepped on them a few times and they held up.,positive
"This was my first speaker so I didn't really know what to expect. It worked well enough but didn't retain a charge well and unless I remembered to shut it off, would run through the entire battery so I was constantly charging it. The Magicbox lasted about 5 months and then stopped working completely. Around the same time, I received a Jambox as a gift LOVE it! The sound quality is incomparable and I just used it for 3 hours and it still has a 60% charge. If you need a cheapo speaker and are not expecting much, the Magicbox works but if you want quality I would splurge on the Jambox.",positive
claim to be adjustable. Not adjustable. Don't stay put in my ears. No microphone. No volume adjustment.,negative
"I have installed couple of mounts from Omni (both full motions, one for UN75HU8550 inches tv  an other for UN40J5200 inches tv - both for Samsung), before I ordered this VideoSecu for my Samsung UN55HU6400 tv.<br /><br />When I compare this one with Omni mount from quality & ease of use perspective, videoSecu was low in quality, it was not installation friendly (again, when I compare with Omni mount). Price difference is only 20$. After I installed the screws, then I realized that I should have gone for Omni by paying 20$ extra. I am hesitant to move the 55 inch TV as I can feel that it may not give better support.",positive
"Pros:  * Good sound  * Easy to Setup  * Easily Pairable  * Buttons for volume and play/pause are a nice feature  * Can integrate with home automation/ IoT Cons:  * Many limitations on what you can play  * Not great for spoken word  * Lack of audiobook/ podcast support  * Does not support bluetooth/ streaming  * Unhelpful costumer service (as far as features, see note about Sonos forums below)  * Pricey for lack of features compared to competitors  * App is lackluster  After looking at Sonos for a couple years, I decided to start off with a single Play 3 to see if I liked the overall Sonos system. Before I bought in I had read about the pros and cons of the product and was pretty well informed. I immediately enjoyed listening to Sirius/ XM Radio, IHeartRadio and music from my cell phone played through the Sonos app on my Android.  The sound quality is really nice. The bass is clear, the treble is nice and the mids are all very audible for music. When turned up this speaker can really make some noise and put out crisp loud bass. The audio distorts a bit at the loudest levels but I have never come close to playing around that volume. I comfortably listen at around 35-40% volume, so there is a lot of room to get louder from this single speaker.  For spoken word and talk radio the bass can be a bit much, it's clearly calibrated for music, even when  the eq is tweaked to lower the bass end.  The Sonos system however is somewhat to very limited. There are a handful of streaming services that are handled through Sonos app which can be run on a smartphone, a tablet or a computer. These sources include streaming services like Spotify, Tidal, Stitcher and Sirius XM along with anything on the device or computer the application is installed on. In addition you can pull from a media server if you have one installed on your network.  My biggest issue and reason for the rating is the limitations of the system. Without buying a Sonos Playbar, Play 5 or Sonos Connect you are unable to pull audio from any video source. This means you can't play audio from the television, computer, youtube or even other streaming services like BBC.  Sonos doesn't natively support Audible or any other audiobook sources. Worse yet, if you play an audio book as local media, there is no way for Sonos to remember your place if you change tracks. If you are into podcasts the same issue arises along with the fact that you can only play the most recent podcast from services like Stitcher.  Despite the crystal clear sound and the promise to connect multiple rooms the $300 a good test, but I don't think I'll fully buy in. With so many companies opening up their tech to their knowledgeable community and even just listening to what their customers want, Sonos seems stuck with an old mentality of &#34;you'll get what we give you.&#34; Take a look at their Sonos Community forum and there are hundreds of threads dating back to the mid 2000's with replies from Sonos at most saying &#34;Sonos currently doesn't support this feature&#34;.  There are work arounds to several of these issues, but these should all be options if not native to the Sonos system. I find myself grabbing my $20 bluetooth speaker to listen to podcasts way too often.  Sonos is an awesome idea and a great tech, but there are a lot of speaker companies out there and many wireless speaker products as well. Sonos sounds great, but the limitations really left a lot to be desired.",positive
Good sound. The buds have held up well with moderate use (30 minutes or less per day). I would recommend to a friend.,positive
"Just after the window to return this item had expired it stopped working. Just stopped.<br />Stuck with a $40.00 useless piece of wire and plastic.<br />WOULD NEVER RECOMMEND, WOULD NEVER BUY AGAIN!",negative
One of the two I bought fell apart. Other than that they work well.,negative
"This inexpensive In-Ear Headphone set provides surprisingly good audio fidelity, especially given the price. I now have two sets of these and I keep them stashed for handy access in my car and at work (who knows, I may buy more to stash elsewhere - like my girlfriend's car). A pleasant surprise was how comfortable they are in my ear, but your mileage may very on that. When I first received them, I did an audio comparison using 'White Rabbit' by the Jefferson Airplane as the audio source. I compared these to my Sony Headphones, an Apple earbud, and a Koss earbud. To my surprise, they beat the Koss earbud. (imho) I'm giving this set a solid 3 stars for the sound which I think is pretty good for a set of earbuds... and another star for the comfort. (actually, only a half star) Honestly, I don't think you can go too wrong if you buy these.",positive
Theses sticks are very hard to put on and don't cover the headphones all away.There very pretty but don't work,negative
"Being such a simple product, it really has only a couple of duties: Conduct electricity and separate the battery from the outside world. Unfortunately, it failed me on the latter, and something tells me the former is questionable as well. The very first one I tried closing broke while trying to close it, so the lid no longer stays on. The way the lid &#34;clicks&#34; on feels very flimsy when there is no battery (it would practically open just be touching it). Then when the battery is in there, the thing is almost impossible to close. As for conductivity, the switches feel flimsy as well, as if they too would break after perhaps a hundred or so times of flipping them. If sturdiness is your goal, I recommend avoiding these. For nearly a dollar per piece of plastic, I expected higher quality. I mean, even a soda bottle has vastly superior quality yet is meant to be disposable.",positive
Do not buy this unit. Buy the Sony BCG-34HRE... it works perfectly. I gave it 2 stars because it does charge batteries but takes a very very long time compared to the Sony BCG-34HRE which rocks!!!!,positive
This cover came on time and fits our television nicely❤️,negative
Installed it an still hanging after more than 2 years,positive
so far it is working. The USB connection are useful.,negative
"I use these with my lg pa75u led projector. They have no issue syncing up when I turn on the 3d. They are comfortable on the face much better than the passive ones you get at the movie theatre. They work great, sometimes I have to cycle hitting the power button if things look a little out of sync but once I have where I like it no adjustments. Nice bag and cloth included<br /><br />The cons that keep it from 5 stars<br />1) The arms on the glasses are to long so if you lean back on something with you head they sometimes get pushed forward. It can be a little annoying at times.<br />2) The small usb plugin is kinda recessed a bit and your normal charger for you phone works but doesn't get that satisfying click or feel like its secure, but don't worry the cable provided has a slightly longer plug that works just fine. Had to switch out the cable on my charger.<br /><br />But all in all these are great glasses and would highly recommend for the price just two things that need to be looked at.",positive
Red zip ties.  Exactly what I wanted as I have a thing for red.<br /><br />Strong plastic tie.  Good zip and lock.<br /><br />Easier to help sort your cords to keep aligned.<br /><br />I even used them in my bathroom toilet.  You know how sometimes you have to jiggle the handle?  No problem anymore it doesn't kink like it used to with the chain link.,positive
"I am very disappointed with this product.  Although the sound quality is really good ( at least for jazz and blues), the Bluetooth cuts out frequently if the iPad or iPhone is more than 12 inches away from the speaker.  So much for reading a book and listening to music at the same time.  If rating this speaker on sound quality and ease of set up alone I would give it 4 stars, but with the connectivity issue I can't do any better than one.",positive
No instructions were included and it came with an Allen wrench and I still haven't figured out what that was for. Once mounted works OK,negative
"Well It was just PERFECT at 1st BUT. the music quality just basically crashed on me yesterday..Tried 2 format it a dozen times but no luck :( . I have been having bad luck with Mp3/Mp4 players lately though..Not my 1st time replacing it..It still cuts on and charge & everything, but after I tried 2 upload a music file yesterday, the quality of the music has been fading..It's basically trashed now..Will try & send it back/ get a refund and pick my hopes back up on getting a brand new one (that will work100%), but NOT from RipTunes",positive
My old LNB filled with water and stopped working.  This replacement works just fine.,positive
Love this cube. It had amazing sound is amazing!! It's so fun to move around the house or beach!,positive
"I love this product. I regret buying this product in late. why should I pay $30~50 for cable ?  But, there was too many scratch on antenna surface. I know it's not bothering a signal reception, but not feel good about defect on new product. it's very sensitive to signal even with light touch",positive
"Had the headphones for two and a half months and they worked fine. Then one day after a long flight, I took them out of my pocket and they no longer worked.",positive
My father loves this radio - hard to find and very clear for the garage:) Day 1,positive
"Very, very poor quality. Equivalent to a poorly made child's toy.",negative
"Good quality exterior. Cd slots are fit for purposes, but the plastic bindings holding the sheets tend to pop out when near full, so that you need to re -insert it. It doesn't appear to be impacting the plastic so far, so hopefully it won't weaken over time.",positive
Im very pleased with this product. Easy to use and good sound.,positive
I have a shaved head; the headphones do not stay on my head if I bend over. I decided to return them.  I sent them back but NEVER received confirmation or compensation. The sound quality was decent but could have been louder.,positive
"I have another iHome sports ear hook headphones that rock. I still have them a year later. I decided to get another set but couldn't  find the same ones so I got this version. They didn't fit as well. The angle the earbud enters your ear canal is uncomfortable but the biggest drawback are the removable ear hooks. The headphone wire feeds through a channel in the ear hook. After a few uses the channel won't hold the wire securely. Also the ear hook pops off of the earbud making the ear hook useless. Find headphones where the ear hook is molded into the earbud.<br />This set had decent sound (bass) quality when seated deep in the ear canal but within a month the looseness of the ear hook and the angle of the earbud made the earbud come out far enough to destroy any sound and let in ambient noise.  I used them for exercise.<br />Lastly, at the point where the wires exit the ear hook is at an angle that causes the wires to bend and they were becoming brittle.<br />The other iHome earbuds I have, have taken a beating and still rock after nearly a year.",negative
"The first adapter sent didn't work.  Had to send in pictures of the adapter that came with the speaker, the speaker itself and the first adapter.  A slightly different replace was sent and arrived quickly, and this one did work.  A little bit of hassle-but finally a working product.",negative
Does not work consistently!  Have to intervene by manually switching connected devices even after previous device was turned off.,positive
Lasted less than a month.  One of the headphones no longer works.,negative
"When it works it does the job well, however every so often the image will become specked with patches of pixels that flash white and black. Easy enough to fix, just unplug it then plug it back in.",positive
Works great! An easy way to listen to music in the bathroom. I had no problems connecting it to my iPhone and it syncs easily and the sound quality is quite good.,negative
"**Update** After 6 months of use, the bluetooth died on me today. I can no longer get any lights to turn on, or sound to come out over bluetooth. Wired the headphones still work, but beware that the bluetooth can just die. These have also only been lightly used, and have not been abused at all.<br /><br />These headphones rock. No, seriously, the power that can come out of these headphones is awesome. That being said, let's get down to business:<br /><br />The build quality of these headphones are good to great. They are a mixture of metal and plastic, but in no way to they feel flimsy. The cups themselves are predominantly plastic, while the headband has a good amount of metal lining the band for strength. The padding on the cups is very soft, though is not memory foam, just traditional foam. Also there is a faux leather like material lining both the headband and on the cups.<br /><br />Design wise, the headphones are sleek, and the way they fold up is very clever, and I feel far more durable than other headphones. That being said, JBL definitely was not shy in their branding of these headphones, with their logo clearly written on the outside of each cup as well as across the top band. They look great though, truly. Definitely a 'cool' pair of headphones.<br /><br />These headphones do have some wearability problems in my case though. As someone with a large head, I have to max out the band extension to get them to fit on my ears, however they DO fit on my ears. So as the upper spectrum of head sizes, I can say that they do sit well. Further, the cups are fairly large (50mm drivers), and while the cups rotate in the lay flat, I would not recommend this while wearing them around your neck, as they straight up choke me. To wear them around your neck you need to leave them in their normal rotation, which messes with your ability to turn your head. Also, the band is fairly tight, and these headphones squeeze my head a good deal, but that could be a nice thing if you use them for working out or exercising.<br />The largest criticism I have of these headphones though is their choice of circular cup design. While it looks great, they don't truly surround my ear, and sit right on the tops and bottoms of my ear, as an on-ear model would. This causes me to have to remove them once an hour or so as it can get uncomfortable and my ears start to feel really hot. I think a more accurate description of them is &#34;mostly over-the-ear headphones&#34;.<br /><br />Now for the good parts, the sound. They blow me away. Solid, crisp basses, clear mids, and crisp highs. As a amateur audiophile, I am very happy with the sound quality of these headphones, and they sound like much more expensive headphones. And boy do they have power. They can get uncomfortably loud, but that is easily managed by either the volume on your device, or on the headphones themselves. As far as an internal equalizer though, the sound is a bit flat, so if you want to customize your EQ it will have to be on the music device itself. Though, with the properly tuned EQ they are some of the best sounded headphones, period.<br /><br />As far as the technology, there isn't much to say. The bluetooth works great and I can get about 30 feet of range out of them. Battery life is realistically 25 hours or so, and charging takes a couple hours. The cord to plug them for wired mode is nice, though bluetooth technology has come so far I can hardly hear a difference between wired and wireless. The built in mic is fine, and people on the other sides of phone calls have reported that they can hear me clearly. The buttons on the device are not the most intuitive, but they work fine once you get used to the command patterns (double tap, triple tap, etc). As for the music sharing feature, I never got to test that, as I am the only one in my household with JBL headphones. It sounds like a nice feature though.<br /><br />TL/DR: Great headphones for the cost. While I wish they truly surrounded my ears, they are comfortable nonetheless. The audio quality is fantastic, and I have no regrets after purchasing these headphones.y ears, they are comfortable nonetheless. The audio quality is fantastic, and I have no regrets after purchasing these headphones.",positive
I bought two of them and the sound is super clear and great for a listening center. One problem in finding is that both only release sound and let the volume be adjusted on one side. Is anyone else have trouble getting sound to come out of both speakers?,negative
Nice and easy to install DVD/Blu-Ray stand. I installed it to hold a Sony BDPS-3200 blu-ray. I looks neat at my room.,positive
"Junk. Don't waste your money. It hasn't worked, ever!",negative
"Excellent system for the price, outstanding sound in my sun room for sports and movies.",positive
"- Great product<br />- Great sound<br />- Great price<br />- The only negative is that the volume is a little bit of a pain to do a minor adjustment because you have to hold the same button down that you change the songs with. For the price and sound quality, I can deal with that though.",positive
"My 2010 Lg plasma television weighs approx. 88 lbs the original base stand was lost a while back for this unit was wall mounted. My wife and I remodeled our living room chose to put television on cabinet instead. I thought it would be simple enough to order a cabinet television mount on-line. I did a lot of on line searching till I finally found OLLO products line. In their web page they show several original equipment mounts as well as universal mounts. The mount I selected was between one describing a 30-50&#34; support mount and a 30-60&#34; support mount. I opted for the larger one obviously because product description stated it would support up to an 80 lb. television. ( Mine weights about 88 lbs.) Oh! and the smaller of the two showed a price of $55.99 discounted from $74.99. The mount I ordered priced out at $84.99 down from $149.99,  also amazon did not send me a copy of my bill but an order confirmation statement only! Since I ordered on line maybe this is standard practice for them, I don't know can not even show item numbers, none the less instead of going through any return hassle I keep this mount. Future OLLO buyers beware totally NOT satisfied. I did not see anywhere on the amazon page easy copy button. Resent using amazon about know!",positive
Works okay.  Picks up a wide range of channels however if you move it less than an inch you will gain many more channels while losing a fair amount as well.  Takes some fine tuning.,negative
