review_number,review_text
review11,"I’m not going to go over specs since it’s well known. Just the good and the bad. I took measurements of the AC and DC power outlets and here’s what I found. Pictures show that 2 similarly rated solar panels are charging at 205 watts, which means the built in MPPT charge regulator is working effectively. The AC power is probably better than the quality of your home AC outlets served by your utility company. The sine wave is pretty much perfect without artifacts as seen on my oscilloscope. The frequency is a rock solid 60 Hz with a rock solid 120 volt AC output on most loads. That’s refreshing because some of these so called solar generators put out lower voltage. The DC cigar outlet puts out 13 volts which is adequate, but would have liked to have seen 13.8 volts which would be standard for automotive accessories and radio gear like Ham equipment which likes a solid 13.8 volts in some cases. Fan noise is much better than other brands with similar specs. Probably because they are using a larger fan at lower speeds to cool the inverter power supply. Overall I am very happy with the fit and finish, including the new fold down handle and flat square top. The only complaints I have are as follows: Jackery really skimped out on the USB ports, giving you only one USB A which is ridiculous, and two USB C ports which is just okay. They could have easily doubled that for whatever it costs to make it into a better, more convenient charging station. As I mentioned above, it would have been better to have the DC car charger port put out a more standard 13.8 volts DC. Lastly, it would have been much more practical to include an Anderson Type DC outlet for powering DC equipment at up to 20 Amps instead of the antiquated cigar outlet that can only handle 10 Amps or about 120 watts which is very limited for higher power consumption equipment such as radio equipment, etc. I love the fact that Jackery is finally moving to LiFePO4 battery chemistry which allows for up to 4000 charge cycles (to 70% of original capacity) as per the manufacture specifications. That’s a little optimistic, but it’s much better than some other Lithium ion technology that specifies around 500 cycles. I also love the very fast charging at 1000 watts with a 1200 watt option for super fast charging. The charger is conveniently built in to the unit, so no more power supply bricks to carry around, or worse, to forget at home. The users manual isn’t great, and the “Battery Saver” mode isn’t clearly explained, but it’s a fantastic way to dramatically increase the overall service life of your Jackery by limiting your charge to 85% and limiting discharging to the 15% level. You can change this to get 100% of your battery capacity when needed, but at the expense of overall number of charge cycles. This puts you in control, and is a very welcome and useful feature. I highly recommend this model E1000 V2 by Jackery. It’s all most people will need."
review12,This was a lifesaver as it arrived 3 days before the hurricane and kept my freezer full of steaks going for a few days. Last storm I had to throw hundreds of dollars of food away. It is easy to use and when I put it on sliders it was easy for this old woman to move from place to place with the handle. My only complaint is the price. It went down a couple of days after I purchased it and Amazon could not give me a rebate and neither would Jackery. I ended up buying a second one for $100 less a couple of months later so I would have a longer safety net for the next storm. The price variations are the biggest downfall and would be behoove those wanting to buy to keep track and buy accordingly. I picked this brand because of all the live in your van and tiny home videos I watch on YouTube. You have to top it off every 3 months but so far mine have remained at 100% capacity. I hope I seldom or never need to use them. That would not be wasted money but a sort of insurance. The winter I bought a new coat and boots it did not snow and I was tempted to do the same the next year. Cheaper than heat bills.
review13,"Many of you are probably like me having a tough time deciding between Delta 2 or Explorer 1000v2. The 2 are almost identical in all aspects. Both Ecoflow and Jackery are good brands, and you can expect good build quality and reliability. Seems that the Explorer is always priced at $50 below the Delta 2. At the end, I picked the Explorer. The rationale was simple. I could not find any justification to spend $50 more for the Delta 2. On Black Friday, net price for Explorer was $349, which was a no brainer. For reference I paid $400 for the Ecoflow River 2 Pro 8 months ago. I use these power stations primarily during power outage. If you run them 24/7, your buying decision may be different. Expandability is not a factor for me (the add-on batteries are never cheap anyway), nor is solar charging. I deploy the power stations distributively wherever power is needed, rather than building them into a centralized power source. Here are the main differences between the Explorer and the Delta 2 that I considered. - The Explorer is $50 cheaper ($349 vs $399 on Black Friday) - The Explorer has a good LED lamp which is handy during power outage. - The Explorer has bigger capacity (1070Wh vs 1024) - The Explorer is 3 lbs lighter. To me, anything over 25lb is only marginally portable. - The Explorer does lack 12vdc barrel plug ports which Ecoflow has. Those ports can be used to power modems. But I already have other power stations that have those ports. - The solar port on the Explorer not as common as that on the Delta 2. - The ac sockets are upfront on Explorer while in the back for Delta. I prefer them to be upfront. I see absolutely no advantage of them being in the back, except maybe it looks neater to have the cables in the back if you have a semi-permanent installation. Definitely better to have them upfront for emergency use. On charging. When I first got my Explorer, it was 80% charged. And it seemed stuck at a very slow charging rate of about 300W. Installing the mobile app and selecting the ""emergency boost mode"" made no difference while selecting the slower quiet mode actually made it charge faster. I thought I had a defective unit for sure. But after draining the battery, the battery then charged between 600 to 800W most of the time at the default fast mode until near the top-off stage. Hitting the boost mode did take it up to 1000W level. Even quiet mode got over 300W. I am convinced that the unit can be fully charged using the default fast mode in well under 2 hours, and that is good enough for me. Even at the default fast mode, it was much quieter than my Ecoflow River 2 pro. The quiet mode does bring down the noise to an unobtrusive level. The inverter on the Explorer seems excellent. The ac output was very steady at 120V, never dropping below 119V on 100W draw."
review14,"Wondering about the actual wattage of the solar panels? Verified 200w! I live in New England and figured I'd only get 200w out in the desert at mid day. I just put them in my backyard, not even properly aligned, and got 193w input to the battery. Charged from 93% to 100% in about half an hour. This was the biggest concern I had because solar is so environmentally dependent. The battery itself is fantastic. The USB-C 100w is perfect for my laptop without having to convert through the AC. 3 AC outlets is plenty for me. Lots of info on the battery itself and through the app. Well designed and well made. Very happy."
review15,"I can unironically attest that the Jackery Explorer 1000 V2 is a game changer because I am not confined to a household outlet when I have an outdoor project. I can use my 10-gallon shop vac and carpet spot cleaner to clean my car anywhere. I have a Mora fridge with a 22.3 Cu. Ft. bottom freezer, and the Jackery can keep it powered for 18 hours. The runtime goes down to about 8-10 hours when I plug in the fridge and my 7.0 Cu. Ft. Insignia Chest Freezer at the same time. I have also used it to run my office set up, which includes an internet router, lamp, monitor, and laptop for 12-14 hours. I got this when it went on sale on Black Friday 2024 for $450 (before tax), and bought a second one (04.09.25) when it went on sale again for the same price. After researching competitors, no other solar generator can offer you the same capacity and runtime at $450. But if this thing goes back to the regular price? Then you should explore other options. The Jackery Explorer V2 is as big as a large insulated lunchbox and weighs 20 lbs., so it is easy to travel with for outdoor adventures."
review16,"I now have a Jackery 300, 500 and 1000 v.2. I rec'd the 1000 v.2 today. It shipped with 28% power, and I was surprised to see that it came with a direct plug-in power cord (no brick). It took about 75 minutes to charge it, with the input wattage scaling from 300 to 600 watts. After it was fully charged I tested it with our full-size kitchen fridge. When plugged in it initially drew about 250 watts (compressor start?) then settled it at 60 watts per hour. It estimated it would run around 13 hours. When the door was opened and the light came on it spiked to 72 watts. This what I was looking for, something easy to charge and store but that would get us over a 24-48 hour power outage. I'm too old to start my gas generator but this is easily manageable. It does have 2 DC power ports that would take 2 solar panels. All in all, the Jackery family works for me in a number of applications. One solar panel works with all 3."
review17,"Original review below this. Jackery customer support did get a new unit back to me, arguably later than they advertised, however they did outreach to me about my experience, which I appreciate. I have these ordered under a separate account for work, the smaller units for inspectors and they have worked flawlessly to keep laptops and starlink powered in remote areas. I'm going to chalk up the delayed customer service based upon the holidays. When you put out thousands upon thousands of these products, it's not unusual to have a certain percentage fail for various reasons. Jackery is the premier provider of this type product, so part of the purchase is customer service knowing they are going to be around if something goes wrong with your unit. Personally I was unlucky on this particular unit as it died after 6 months for no reason I wasn't even using it. But with that said these things happen and so long as they are backing the warranty all good. All the other units that we purchased for work, they are all going strong. And my older jackery 500 still working great. The main reason I have these is for resiliency especially around wildfires, and power outages in Northern California. While I have a couple of inverter generators that will run 8 hours on a gallon of gas, they are a pain to take out during a three or four hour outage. The products offered by jackery can be a great tool in combination with regular generators. You can bring them inside your house and not worry about carbon monoxide poisoning or anything else. Original review I’ve been a loyal customer of Jackery for years, but my recent experience with the Jackery 1000 V2 and their customer service has left me extremely disappointed. The unit failed within six months with an error fault. I contacted customer service on November 19th, returned the unit before Thanksgiving, and was assured that a replacement would be shipped within two business days. It is now December 6th, and despite numerous follow-ups, I’ve only received vague responses that they are ""looking into it."" This is particularly disheartening given my history with Jackery. My first purchase, a Jackery 500, failed within a week of use about four years ago, but their customer service back then was outstanding. They promptly replaced the unit, which has worked flawlessly ever since. I’ve also purchased several units for work based on my prior positive experiences. I understand that occasional product failures happen—that’s not my issue. What I take issue with is the clear decline in both product reliability and customer service. Jackery's customer service was once a defining feature of the brand, but that no longer seems to be the case. If you’re considering a Jackery product, I recommend looking into alternative brands. While they were once a standout, my recent experience suggests their quality and service have significantly degraded."
review18,"Battery charges fast and worked well. The app has some issues. It won't reliably reconnect to the battery with Bluetooth. The app will not allow me to connect the battery to my WiFi, because the app won't allow spaces in WiFi passwords. Edit: Jackery reached out to help make sure my battery is operating properly. They clarified that the Bluetooth is only active on the battery when it's powered on. I'll be keeping an eye on it to make sure it's staying connected like it's supposed to. They submitted a bug report internally for the app, as it's only an issue right now with the Android version. Hopefully this will be getting fixed soon. I appreciate and admire their support of their product. Thank you Brian!"
review19,"The intuitive and very easy to use phone app should be a model for all hardware apps. The app keeps track of input and output wattage. It allows setting of many parameters including charging rate, auto-off time and emergency charging. The emergency charging mode allows for quick charging in anticipation of an incipient power outage. I have purchased 3 Jackery Explorer 1000's. Hardware is very solid and has a quality feel."
review20,We loved it so much we bought two! Need to be hurricane ready so we wanted to add to our current gas generator. Bought the Jackery and tested it out. Charged fast. Ran our fridge for 7 hours! We also bought the solar panels with our second Jackery. Tried them out and they charged it in just a few hours! We are ready (but hopefully never need them) lol. This company is fantastic to work with!
review21,The Jackery 1000 v2.0 is one of the most awesome products I have ever purchased. After testing it out I feel so much better having one. I'm going to use it for power outages so I can run an IcyBreeze cooler and watch Netflix on my laptop. This is a huge improvement for me since last year's hurricane season.
review22,"The Jackery came but no solar panels. If the solar panel comes still the rating will change. Fast forward... the solar panels came. I had to look at it again because it looks like the stretchy legs are on the front, but from all the videos I've looked at, it's supposed to be that way."
review23,"Quality-built backup battery for power outages. Also great for outside work, saving the hassle with long extension cords. Not to forget the excellent customer service."
review24,This is one of 2 units I bought that are Jackery and works great the 2nd unit is defective and I can’t get it returned keep getting the run around I wanted to buy another one of these units but won’t now if this is how trying to return a defective one is so beware!! I wish I could say better I don’t like leaving bad reviews and I really wanted to buy another unit but not now
review25,"At this point, I have to begin my review from the start, again. The Jackery Explorer 1000v2 is a great looking power station (not a ""generator"" as written on the outer box) which sports multiple 110VAC outlets with a 1500 watt rating, multiple USB 5V options, and a 6V car accessory type outlet. It has two charge inputs which allow up to 400W of charging ability. The battery capacity is 1070Wh though that needs to be taken with reservation since there are several losses not included that can reduce this figure somewhat. The unit is well built with a swing up carrying handle, the Jackery black and orange color scheme, and a squarish profile with rounded corners and edges. It weighs in at 24 pounds or 10.8kg. Included are a 110VAC charging cable (which is the fastest way to charge the unit) and a user manual. Now for my ""cons"". When I tried to load the ""Jackery"" app on my Motorola (Moto g Pure) phone, all the Google Play store would show was a ""Jackery Home"" app. That isn't the correct app (which I found out after loading it and not being able to use it). My phone failed to show the correct app which is the ""Jackery"" app. After finding it with a separate search, I found that my phone wouldn't accept it (I later discovered this is a fault of my phone). I had several discussions with Jackery which didn't lead to anything. I then tried my tablet and it brought up and loaded the ""Jackery"" app with no issues and that is the way I'll have to handle my Bluetooth and WiFi which is ok but I'd rather my phone was capable of that (minus points for Motorola). The thing I was really impressed with was a technician from Jackery had read my comments here and with Jackery support, and called me back and tried to help me get the app working with my phone. Most companies would not have taken that much effort. Kudos to Jackery. One thing missing that probably should have been included with the Jackery Explorer is a solar charge cable and dust caps for the outlets. I will be doing some solar charging and it would have been nice not to have to buy the solar charge cable separately. A nice 6V outlet dust cap came with my smaller Jackery but this one just has the bare outlet which can collect debris pretty easily. This was no big issue since I 3D printed a dust plug which works fine (and I purchased some 110VAC safety plugs for the 110VAC outlets which I painted Jackery orange to match the unit color scheme). All considered, this is a great mid-size power station utilizing Lithium Iron Phosphate cells, which provides a safer, longer lasting power source compared to Lithium Polymer based stations. It's charge capacity and 110VAC output can run lights for a long time, and many common appliances for less time. Heavy loads (my air compressor and vacuum cleaner with power head) are not supported which wasn't too surprising."
review26,"I've had the Explorer 880 (which is essentially a V1 1000 with less watt hours) for a couple of years and while it has performed dutifully during that time and was a literal life saver, it had limitations that I think the 1000 V2 addresses: 1. The V2 inverter outputs 120V instead of the 110V of the V1. It may not matter much for electronics that have their own power supplies but I think it did make a difference for motors and compressors that run just a little more sluggishly. If a house's power is below 114V, it's considered too low by the NEC too. 2. The V2 has 1500 watt sustained output vs. 1000W that the old version had but more importantly, It can go as high as 3000 watts for startup which is absolutely amazing for things like fridges or other devices that have a inrush current. I remember trying a 10 LPM Oxygen concentrator for a now dearly departed family member and the old one would really struggle to start up. Same for fridges. The V2 just doesn't care. 3. The LIFEPO4 battery means a lot more charge cycles so this thing should last a long time...I mean truthfully, plain old Lithium ion should be good for most people too and I've only probably had 6 complete discharge/charge cycles on mine but if you use this for your primary source of power, then it would really matter. 4. This is very simplified with just a power cord and no power brick required. You don't need to remember to take all the attachments with you. I do wish however that they gave the adapter for 8080 DC port so you can use your old car charger instead of buying a new one but you should be able to find on on here for $10. Overall I'm happy with the purchase and wish I had gotten a 2nd one for Black Friday"
review27,Takes 6 hours to charge now they have gens that take 1 hour to charge
review28,Jackery customer service heard about the issue and resolved it. I must change my review to Jackery actually listens and cares about their customers. Says alot since most companies just don't care. Very impressed
review29,"Update: recently reviewed this as not working. I receive connector adaptors from the manufacturer and it now works. I have yet to test it to see if it will handle 1500 watts, that's why I'm saving the last star. I will update this review once I've confirmed that it can handle 1500 watts or close to that number."
review30,I love my two Jackery’s. They are there when you need them. Charges last long. Not bad for recharging. I never let mine get below half. Charging panels are nice. Weight isn’t too bad. They seem to be quality built. I have a very big Dometic refrigerator/freezer for my vehicle and it runs 24/7. I switch them out daily. I love the size of them too. My first one the handle doesn’t fold down so I appreciate that on the new one.
review31,"Update: Jackery customer service promptly reached out to me and provided quick easy reset instructions. My 1000v2 fully charged to 100% and is working flawlessly! Thank you for the prompt attention!! I now have three Jackery units (1000, 300, and 240) and I highly recommend each unit. Received the Jackery 1000. After reading the instructions I checked the unit, it was charged at 28% so I plugged it into to recharge. After charging for 3 hours, it is stuck at 46% (with 0% input indicator). Yes, the outlet works fine. There’s nothing in the instructions addressing this issue so I’m assuming it’s defective. I have not tried the solar panel as it is currently cloudy/raining. Really disappointed since this is my 2nd Jackery purchase. My previous purchase (Jackery 240) was flawless and still works great."
review32,"I have purchased two of these products for our family. A smaller one for camping and traveling and a larger one for emergencies. In fact, we used our larger one in January when the winds caused electrical outage. It kept the refrigerator running all night. We are saving to buy an even larger one for the freezer. Excellent product!"
review33,Works great! The same as my other 3 Jackery's. I trust this brand so I buy only this brand products!
review34,"I love all the Jackrey products. I own several of them. Very versatile when the power goes out to have more than one. I can put one on the freezer, and set up most of the house on an 1800 W unit. And I have a 3000 W Unit that I use is my backup to recharge these if solar doesn’t work. But if the sun is shining the solar works really well. I got this one on an amazing black Friday deal. It’s very nice. If I had known how nice it was, and that it was the updated 1000 W unit I would’ve bought several of them. Unfortunately, that was a one time deal and they’re quite a bit more expensive now."
review35,"This one is a lot better than the one they made before because they handle lays flat. I put the previous one on top. Also, it has Bluetooth so you can turn it on with your phone. If you're in a place where you need to have power because there are blackouts this is the one to have.. I can run my TV with my Internet, which is connected to another backup powder supply for a day."
review36,Used this for fourteen days straight recently on a cart to power different electronic gear on a cart in a hospital and it performed perfectly. I used both the 110v AC USB-C plugs constant draw for 12 or so hours each day and plugged it in each night to re-charge. A great purchase (especially at a discount for cyber Monday).
review37,Outstanding
review38,"I got this power station to run my fridge in the event of a power outage. For reference, my fridge is a cheap, basic GE model that uses about 130 watts while the compressor is running, spikes to 430 watts during startup, and averages 65 watts over the course of a day. This Jackery can run my fridge for a bit over 12 hours, which is about what I expected if you assume the inverter is 80% efficient. I'm sure if I was using a more efficient chest freezer I'd get a lot longer runtime, but that's nothing the generator can control. The jackery does its job well & handles all of the load spikes that come with the compressor spinning up every so often, though admittedly 430 watt peaks are nowhere near the rated 1500w max for this thing. I have a few other (smaller) Jackery power stations, and I've also tested a few other off-brand power stations too. This one has the same sort of quality you can expect from Jackery, and I definitely recommend going with them over some of the other no-name brands. You can pretty much always expect Jackery to meet or exceed it's rated specs, while you can't say the same for some of the cheaper brands... Also, as an aside, their support is great! I missed a promo by buying at the wrong time, and even though Amazon said they couldn't do anything, Jackery's support was able to take care of me. They are definitely my go-to power station brand and I highly recommend them."
review39,"Fairly nice power bank with decent output. One thing I didn't like is that if you apply power to charge, it turns on and doesn't seem to turn off automatically even with zero load. I waited several hours and it was still on draining the battery. It would be nice to plug it into a smart power plug so I can have it charge every month or two, but that's going to be a pain. The cheap monoprice one I got doesn't have this problem."
review40,"Really nice product, good quality build. Saw the price dropped by $50 one week after I bought it. Kindly requested a price adjustment, which they granted within a couple business days."
review41,"Works great! Totally silent, can use indoors because it does not generate carbon monoxide. Thrilled to not have to use that noisy gas generator anymore"
review42,Generator is nice but I had to charge it up inside my house using wall socket . I was not aware that the adapter needed to be removed . Great Product. I will upgrade soon!!! Thank You Jackery Team.
review43,"I like the look and portability. Also, the interface is very easy to use and gives all the pertinent information. The displayed values for time left to charge and to discharge are relatively accurate. But it will be limited as a back-up in a power outage. I tested 3 of my appliances. The freezer at a steady 115W lasted 8.5 hours The refrigerator ranged from 0 to 138W and lasted about 11 hours. The time left to charge varied with the variable wattage used. The space heater, on the medium setting, used 916W and lasted 1 hour. The solar charging gained 1% of charge in about 6 hours of PNW sunshine, so not helpful."
review44,Love this Jackery. My apologies to to the manufacturer for writing a negative review on the app. I downloaded the wrong one and could not connect to the device but after I got the right app. Everything was perfect. After charging it to 100% I ran my Nespresso machine which uses about 1350 watts and the Jachery performance was flawless. Now I am a happy camper with the jackery and the Nespresso machine.
review45,Bluetooth worked upon startup w my iPhone however within a few hours it stopped connecting. Couldn’t get it to hook back up. Will call customer support I figured out Bluetooth. Working proper
review46,"I bought this 40lb battery because I found it on sale and I've been wanting to get one for a while. I'm a little concerned that the winter storm moving through might take out the heat in a day or two and I'll really get a chance to test this thing out, but I'm sure it will be okay because this is big enough to run a small heater for a little while. Or power the mini fridge for some meds. Or run the c-pap. We're so dependent on electricity, we don't even think of what we lose if the grid goes down. It just feels like a more important investment day by day. So far, it works great. It charges quickly from the wall. I haven't tried it with my solar panel yet. It's not a Jackery brand panel, so I hope that's not a problem, but I don't think it should be. I'll be waiting until it's warmer to try that, unless the power does go out! If that happens in a few days, I'll let you know how that goes!"
review47,"The power goes out in my neighborhood more often than I'd like. I decided to buy this Jackery backup battery to keep my fridge running, for the most part. Since I bought it the power stopped going out so I appreciated the power of the Jackery right there. But yesterday the power went out for hours and I used it as I had planned. When I first started using it it was charged to 93% then throughout the day I ran my large refrigerator for 4 hours, charged my iPad, charged an auxillary battery and made some toast in the toaster and by the time the lights came back on the battery was at 43%. Oh and I used the flashlight while I was in the kitchen. I was really hoping that it would keep my frozen foods frozen and it did so much more than that."
review48,I had an issue and customer service took care of it.Great customer service and a great product.I highly recommend!
review49,"The Jackery Explorer 1000 is a versatile and powerful portable power station that’s perfect for camping trips, outdoor adventures, or even as an emergency backup power source. It can power a variety of devices, including laptops, mini-fridges, CPAP machines, and more. The 1000W pure sine wave inverter provides a stable power output, making it safe for sensitive electronics. The build quality is solid, with a robust and durable design. The LCD screen is a nice touch, providing real-time information about remaining battery life, input/output wattage, and charging status."
review50,We lose power at our home about 5 x a year. Usually out from 5-24 hours. The Jackery has been a valuable item to have charged and ready. Got 2! Highly recommend critical review:
